subject,idna_subject,expiration_date,epoch
00fun.com,00fun.com,05-aug-2021,1628121600.0
1-click.org,1-click.org,01-mar-2021,1614556800.0
1-log.com,1-log.com,10-nov-2022,1668038400.0
10-million-hits.com,10-million-hits.com,25-jun-2021,1624579200.0
100-100.ru,100-100.ru,08-sep-2021,1631059200.0
10000hits.net,10000hits.net,29-mar-2021,1616976000.0
101-website-traffic.com,101-website-traffic.com,30-jul-2021,1627603200.0
101webstats.com,101webstats.com,15-may-2021,1621036800.0
110mb.com,110mb.com,18-mar-2029,1868486400.0
121media.com,121media.com,21-sep-2021,1632182400.0
123counts.com,123counts.com,13-aug-2021,1628812800.0
123stat.com,123stat.com,19-aug-2024,1724025600.0
126hits.com,126hits.com,17-may-2021,1621209600.0
1800freehits.com,1800freehits.com,29-jun-2021,1624924800.0
188movie.com,188movie.com,06-aug-2021,1628208000.0
18clicks.com,18clicks.com,31-jan-2021,1612051200.0
18rated.com,18rated.com,06-apr-2021,1617667200.0
19media.ru,19media.ru,02-aug-2021,1627862400.0
1clickdeals.com,1clickdeals.com,03-sep-2021,1630627200.0
1clickip.com,1clickip.com,31-jul-2021,1627689600.0
1clicknudes.com,1clicknudes.com,14-may-2021,1620950400.0
1clickpay.com,1clickpay.com,13-sep-2021,1631491200.0
1clickpips.com,1clickpips.com,03-mar-2021,1614729600.0
1clickreservations.com,1clickreservations.com,14-feb-2021,1613260800.0
1clickspyclean.com,1clickspyclean.com,23-mar-2021,1616457600.0
1clickstop.com,1clickstop.com,17-feb-2021,1613520000.0
1f1.fr,1f1.fr,07-mar-2021,1615075200.0
1loup.net,1loup.net,06-mar-2021,1614988800.0
1stwarning.com,1stwarning.com,24-may-2021,1621814400.0
2-clic.com,2-clic.com,24-apr-2021,1619222400.0
2001positions.com,2001positions.com,03-mar-2021,1614729600.0
247hits.com,247hits.com,07-aug-2021,1628294400.0
247realmedia.com,247realmedia.com,30-oct-2021,1635552000.0
24counter.com,24counter.com,30-jun-2022,1656547200.0
24log.com,24log.com,26-may-2024,1716681600.0
24mediaportal.ru,24mediaportal.ru,06-jul-2021,1625529600.0
24start.com,24start.com,23-may-2021,1621728000.0
2o7.com,2o7.com,09-jun-2021,1623196800.0
2track.ru,2track.ru,23-jun-2021,1624406400.0
303media.com,303media.com,23-aug-2021,1629676800.0
3click.com,3click.com,28-jun-2029,1877299200.0
3d-icons.com,3d-icons.com,23-sep-2021,1632355200.0
3dfreestats.com,3dfreestats.com,10-feb-2021,1612915200.0
3dlivestats.com,3dlivestats.com,09-jul-2021,1625788800.0
3dmedia.com.mx,3dmedia.com.mx,16-sep-2021,1631750400.0
3dstats.com,3dstats.com,10-feb-2021,1612915200.0
